"id","title","class","topic","date","keywords"
"44","Has Warrick Dunn Built More Than 145 Homes for Single Parents?","TRUE","	Politics","2018-09-12","Warrick Dunn 145 homes,Warrick Dunn 145 houses"
"45","Will Drinking a Young Person’s Blood Provide Anti-Aging Health Benefits?","FALSE","	medical","2018-09-12","Drinking Young Blood health,Drinking Young Blood longevity,Drink Young Blood health"
"46","Madonna ‘Livid’ Over Lady Gaga’s ‘A Star Is Born’ Getting Oscar Buzz, Despite Report","FALSE","	Entertainment","2018-09-12","Madonna Gaga oscar"
"47","Did Donald Trump Proclaim That ‘Dogs Are Disgusting’?","FALSE","	Politics","2018-09-13","trump proclaim dogs disgusting"
"48","Did Colin Kaepernick Donate $25,000 to a Group Honoring Assata Shakur?","TRUE","	Politics","2018-09-13","Kaepernick $25,000 Assata Shakur,Kaepernick $25,000 Black Liberation,Kaepernick $25k Assata Shakur,Kaepernick $25k Black Liberation,Kaepernick $25k murderer,Kaepernick $25,000 murderer,Kaepernick $25,000 Assanta Daughters,Kaepernick $25k Assanta Daughters,Kaepernick $25k killer,Kaepernick $25,000 killer"
"49","Does Nike Own Chevrolet?","FALSE","	Business","2018-09-13","nike owns Chevrolet,nike own Chevrolet"
"50","Kaepernick Arrest Story is False","FALSE","sport,","2018-09-16","""Kaepernick arrested"",""Kaepernick arrest"""
"51","‘Muslim Spy’ Falsehood Circulates Again","FALSE","Politics,","2018-09-16","Muslim spy White House"
"52","Apple offbeat in claim about ‘first’ EKG consumer product","FALSE","BUSINESS,","2018-09-16","Apple watch first ECG,Apple watch first EKG,Apple watch first ELECTROCARDIOGRAM"
"53","No, congressional candidate Scott Wallace does not want to tax families for breeding","FALSE","Politics,","2018-09-16","Wallace tax families breeding"
"54","Conspiracy website objects to Barack Obama calling out conspiracy theories","FALSE","Politics,","2018-09-16","Obama Benghazi conspiracy"
"55","Yes, $10 million were transferred from FEMA to ICE","TRUE","Politics,","2018-09-16","Trump $10M FEMA ICE,Trump $10 FEMA ICE"
"56","Did NRATV Digitally Add Ku Klux Klan Hoods to Thomas the Tank Engine Characters?","TRUE","Politics,","2018-09-16","NRATV Klux Hoods,Loesch klux hoods,nra klux hoods"
"57","Did the National Association of Police Organizations Call for a Boycott of Nike?","TRUE","Politics,","2018-09-17","Association Police boycott Nike,NAPO boycott Nike,Kaepernick shallow dilettante"
"58","Was President Trump’s 9/11 ‘Fist Pump’ a Greeting to a Cancer Victim?","FALSE","Politics,","2018-09-17","trump fist pump cancer"
"59","Was the Appointment of Dr. Jerome Adams as Surgeon General Ignored by the Press?","FALSE","Politics,","2018-09-17","trump fist pump cancer"
"61","Shaq Didn’t Call Trump the ‘Best President’","FALSE","Politics,","2018-09-18","son president wear Nike,Shaq TRUMP BEST PRESIDENT,Shaquille TRUMP BEST PRESIDENT,Trump president Virgin Islands,Michelle Obama running president"
"63","False Claims About Kavanaugh’s Mom and Foreclosure","FALSE","Politics,","2018-09-23","Kavanaugh mother retribution parents,Ford parents Kavanaugh retribution,Kavanaugh retribution parents foreclosure"
"64","Molinaro makes claims about Cuomos MTA record","FALSE","Politics,","2018-09-23","Cuomo steal money MTA"
"65","No, Christine Blasey Fords brother isnt linked to Fusion GPS, Russia investigation","FALSE","Politics,","2018-09-23","Ford brother Fusion GPS,Kavanaugh brother Fusion GPS"
"66","Does This Video Show a DragonAir 737 Caught in a Typhoon?","FALSE","Fauxtography,","2018-09-23","DragonAir 737 typhoon"
"67","Does This Photograph Show ‘Brittany L’ After Killing a Leopard?","TRUE","Fauxtography,","2018-09-23","Brittany killed leopard"
"68","Did Ted Cruz’s Campaign Send Fundraising Mailers That Resemble Legal Summonses?","TRUE","Politics,","2018-09-23","Cruz fundraising letters summons"
"69","Is This a Photograph of an Elephant Carrying a Lion Cub?","FALSE","Fauxtography,","2018-09-23","elephant carrying lion cub,elephant carry lion cub"
"70","Does This Photograph Show a Stretch of I-40 in North Carolina Underwater?","TRUE","Fauxtography,","2018-09-23","40 North Carolina Underwater,interstate North Carolina Underwater"
"71","Does This Video Show School Lemonade Spiked with Laxatives?","FALSE","Fauxtography,","2018-09-23","school lemonade laxatives"
"73","Is Performing Pelvic Exams on Unconscious Women Without Informed Consent Legal?","TRUE","Politics,","2018-09-23","pelvic exams without consent"
"74","Baseless Claim Tells of Gorsuch Accusation","FALSE","Politics,","2018-09-25","Ford Kavanaugh Gorsuch same,Kavanaugh accuser Gorsuch same"
"75","Quote from Dianne Feinstein about veterans and guns is fabricated","FALSE","Politics,","2018-09-25","vets mentally ill firearms,vets mentally ill gun"
"76","Donald Trump says NAFTA killed millions of jobs. Thats not proven","FALSE","Politics,","2018-09-25","NAFTA killed millions jobs,nafta lost millions jobs"
"77","No, Brett Kavanaugh accuser Christine Blasey Ford isnt linked to abortion pill","FALSE","Politics,","2018-09-27","Ford abortion pill,Ford company abortion drug,Ford abortion drug manufacturer,Ford abortion drug firm"
"78","Gov. Rick Scotts Pants on Fire statement that Sen. Bill Nelson is a socialist","FALSE","Politics,","2018-09-27","scott Bill Nelson socialist"
"79","No, Christine Blasey Ford not pictured with Hillary Clinton, George Soros","FALSE","Politics,","2018-09-27","Ford Clinton Soros pictured,Ford Clinton Soros photo,Ford Clinton Soros picture,Photograph ford soros"
"80","Is This a Photograph of Christine Blasey Ford Partying?","FALSE","Fauxtography,","2018-09-27","photograph Ford Partying,photograph Ford drinking,photo Ford partying drunk"
"81","Did a Woman Sue Samsung After Her Cellphone Got Stuck in Her Vagina?","FALSE","Junk News,","2018-09-27","Woman Samsung vagina"
"82","Did Christine Blasey Ford Make a Sexual Assault Accusation Against Neil Gorsuch?","FALSE","Politics,","2018-09-27","Ford Kavanaugh Gorsuch same,Ford accusation Gorsuch,Ford sexual assault Gorsuch,Ford allegation Gorsuch,Ford accuse Gorsuch"
"83","Did Alex Smith Die at Age 26 Because He Couldn’t Afford Insulin?","TRUE","Politics,","2018-09-27","Smith Die 26 insulin,Smith Died 26 insulin,Smith passed 26 insulin"
"84","Did Paul Gosar’s Siblings Appear in a Political Ad Endorsing His Opponent?","TRUE","Politics,","2018-09-27","Gosar siblings opponent"
"85","Does This Photograph Show a Nude Man Walking the Runway with a Group of Young Girls?","FALSE","Politics,","2018-09-27","nude runway young girls"
"86","Are 99% of Rape Allegations “Absolutely Fabricated”?","FALSE","Politics,","2018-09-27","99% rape allegations fabricated"
"87","Did President Trump Say ‘I Met with the President of the Virgin Islands?’","TRUE","Politics,","2018-09-27","Trump president Virgin Islands"
"88","Did Amazon Pay No Federal Income Taxes in 2017?","TRUE","Politics,","2018-09-27","Amazon no tax 2017,Amazon 0 tax 2017,Amazon zero tax 2017,Amazon federal tax 2017"
"89","Does Kavanaugh Accuser Deborah Ramirez Have ‘Ties to George Soros’?","FALSE","Politics,","2018-09-27","Ramirez ties soros,second Kavanaugh Accuser soros,Kavanaugh ramirez Accuser soros"
"90","Is This a Photograph of Christine Blasey Ford’s Lawyer with Hillary Clinton?","FALSE","Fauxtography","2018-09-27","Ford Clinton Soros photo,Ford Clinton Soros picture,Ford Lawyer Clinton photo,Ford Lawyer Clinton photograph,Ford Lawyer Clinton picture,Debra Katz Clinton picture,Debra Katz Clinton photo,Debra Katz Clinton photograph,Debra Katz Clinton pic,Ford Lawyer Clinton pic"
"91","Phony Schumer Sex Scandal Rebooted","FALSE","Politics,","2018-09-30","Schumer affair 16 girl,Schumer affair 16 cheerleader"
"92","No, Christine Blasey Ford’s letter wasn’t written by someone else","FALSE","Politics","2018-09-30","Ford letter Feinstei fake,Ford letter Feinstei fabricated,Ford letter Feinstei forged"
"93","Did a Woman Accuse Country Music Star George Strait of Stalking and Sexual Harassment?","FALSE","Junk News","2018-09-30","Strait Stalking Sexual Harassment,George Strait sexual"
"94","Did Bill Clinton Say ‘Allegations of Sexual Misconduct Should Disqualify a Man from Public Office?’","FALSE","Politics","2018-09-30","clinton sexual disqualify office"
"95","Lady Gaga NOT Wearing ‘$1M Engagement Ring,’ Despite Report","FALSE","Entertainment","2018-09-30","Gaga $1M Engagement Ring,Gaga million Engagement Ring"
"96","Justin Timberlake, Jessica Biel “Divorce” Story Still Wrong One Year After Claim","FALSE","Entertainment","2018-09-30","Timberlake Biel Divorce"
"97","Ronaldos been accused of rape","","sports","2018-09-30","rape accusation Ronaldo,rape accuse Ronaldo,rape allegation Ronaldo"
"98","False Tale of Vandalism at Kavanaugh Home","FALSE","Politics","2018-10-03","Kavanaugh HOME VANDALIZED,Kavanaugh HOME VANDAL,Kavanaugh house VANDALIZED,Kavanaugh house VANDAL"
"99","No, Christine Blasey Ford didnt say she used a cell phone after alleged attack","FALSE","Politics","2018-10-03","ford called friend attack,ford called attack 1982"
"100","Republican candidate claims Kerry is working on behalf of terrorist organizations","FALSE","Politics	","2018-10-03","Kerry terrorist organization"
"103","No, Michelle Obama isnt running for office in 2020","FALSE","Politics","2018-10-04","Michelle Obama 2020,Michelle Obama running president"
"104","Is This a Photograph of Donald Trump with Tupac Shakur?","FALSE","Fauxtography","2018-10-04","Trump Tupac Shakur"
"105","Trump Repeatedly Wrong on Ford’s Testimony","FALSE","Politics","2018-10-07","trump ford one beer"
"106","Matt Damon Not Moving to Avoid Trump","FALSE","Politics","2018-10-07","Damon family Australia Trump,Damon moving Trump"
"107","A Misleading $17 Million Hush Money Claim","FALSE","Politics","2018-10-07","17 million sexual harassment,$17m sexual harassment,17m sexual settlement,17 million sexual settlement"
"108","Walmart raised wages, gave bonuses as Ann Wagner claimed","TRUE","Politics","2018-10-07","Walmart increase wage 11,Walmart raised wages,Walmart raised salaries"
"109","Did Brett Kavanaugh Rule That Employers Can Accept Polygraph Tests as ‘Gospel’?","FALSE","Politics","2018-10-07","Kavanaugh polygraphs gospel employers"
"110","Is Christine Blasey Ford ‘Deeply Tied’ to the Central Intelligence Agency?","FALSE","Politics","2018-10-07","Ford cia plot,Ford linked cia,Ford ties cia,Ford connected cia,Ford connection cia,Ford link cia,Ford related cia,Kavanaugh Accuser cia plot,Kavanaugh Accuser linked cia,Kavanaugh Accuser connected cia,Kavanaugh Accuser connection cia,Kavanaugh Accuser link cia,Kavanaugh Accuser related cia"
"111","Have 260 Out of 535 Members of Congress Settled Sexual Assault Charges?","FALSE","Politics","2018-10-07","260 congress sexual charges,260 congress assault charges"
"112","Is Rep. Maxine Waters Facing Ethics Violations Charges?","FALSE","Politics","2018-10-07","260 congress sexual charges,260 congress assault charges"
"113","Did President Trump Board Air Force One with Paper Stuck to His Shoe?","TRUE","Fauxtography","2018-10-07","Trump One paper shoe,Trump board paper shoe,Trump plane paper shoe"
"114","Was a GoFundMe Page Established for Brett Kavanaugh?","TRUE","Politics","2018-10-07","GoFundMe page Kavanaugh"
"115","Do Presidential Alerts Give the Government Total Access to Your Phone?","FALSE","Technology","2018-10-07","Presidential Alerts access phone,Presidential Alerts access E911"
"116","Did Hyatt Hotels Ban Conservatives from Their Properties?","FALSE","Politics","2018-10-07","Hyatt no conservative,Hyatt ban conservative,Hyatt ban conservatives"
"117","Was Maya Angelou Sexually Assaulted as a Child?","TRUE","Viral Phenomena","2018-10-07","Maya Angelou raped child,Maya Angelou assaulted child,Maya Angelou assault child,Maya Angelou rape child,Maya Angelou rape childhood,Maya Angelou raped childhood,Maya Angelou assaulted childhood"
"118","Doctored Image Takes Aim at Stacey Abrams","FALSE","Politics","2018-10-09","Muslim Brotherhood Abrams"
"119","‘Got Another Friend Request from You’ Facebook Warning","FALSE","computers","2018-10-09","Facebook Warning friend request,Facebook another friend request"
"120","Bogus Booker Quote Lifted from Satirical Story","FALSE","Politics","2018-10-11","Booker sick tired Constitution,Booker sick Constitution manipulating"
"121","Did This Protest Sign Suggest the Mass Killing of White People in Order to End White Supremacy?","FALSE","Fauxtography","2018-10-11","Ending White Supremacy Killing"
"122","Did Lindsey Graham Say Republicans Would Get ‘Destroyed’ If They Nominated Donald Trump?","TRUE","Politics","2018-10-11","Graham Republicans Destroyed Trump,Graham Destroyed nominate Trump"
"123","Did a School Employee Tweet ‘Who’s Gonna Take One for the Team and Kill Kavanaugh?’","TRUE","Politics","2018-10-11","School Employee kill Kavanaugh,educator tweet kill Kavanaugh,paraprofessional tweet kill Kavanaugh"
"124","Did a Virginia School Leave a Transgender Student Unprotected During a Shooting Drill?","TRUE","Viral Phenomena","2018-10-11","Virginia school transgender drill,Virginia school transgender unprotected,school transgender shooting drill,school transgender shelter"
"125","Was Taylor Swift ‘Busted’ on a Date with Colin Kaepernick?","FALSE","Junk News","2018-10-11","Swift Busted Date Kaepernick"
"126","Is Mylan CEO Heather Bresch the Daughter of W.V. Democratic Senator Joe Manchin?","TRUE","Politics","2018-10-11","Bresch daughter Manchin"
"127","Justin Theroux, Laura Harrier NOT Dating, Despite Reports","FALSE","Entertainment","2018-10-11","Theroux Harrier Dating"
"128","Brad Pitt NOT Dating Jewelry Designer Sat Hari Khalsa, Despite Reports","FALSE","Entertainment","2018-10-11","Pitt Dating Khalsa"
"129","Brad Pitt, Jennifer Aniston NOT Expecting ‘Miracle Baby,’ Despite Report","FALSE","Entertainment","2018-10-11","Pitt Aniston Baby"
"130","Kanye West NOT Banned From ‘SNL’ After Appearance, Despite Report","FALSE","Entertainment","2018-10-11","Kanye West Banned SNL"
"131","Hoax Warning Message – ‘National Kill A Pit Bull Day’","FALSE","Hoaxes","2018-10-11","Kill Pit Bull Day,halloween Kill Pit Bull"
"132","Fake-News — ‘Police Officer Sexually Assaulted by Kangaroo’","FALSE","Fake-news","2018-10-11","Officer Sexually Assaulted Kangaroo,police Officer Assaulted Kangaroo"
"133","Taking Pelosi Out of Context","FALSE","politics","2018-10-14","Pelosi Democrats tactic smear"
"134","Republican Party of Florida Says Andrew Gillum is running ""from the FBI.""","FALSE","politics","2018-10-14","Gillum run from FBI"
"135","Is Senator Susan Collins’ Husband a ‘Lobbyist for Russian Interests’?","FALSE","politics","2018-10-14","Collins husband lobbyist Russia,Collins husband lobbyist Russian,Collins husband lobby Russian,Collins husband lobby Russia"
"136","Did a Craigslist Ad Solicit Paid Attendees to Donald Trump’s Rally in Erie, Pennsylvania?","FALSE","politics","2018-10-14","Craigslist ad Trump Erie,Craigslist paid attendees Trump"
"137","Did a ‘Pro-Choice Activist’ Set a World Record by Getting Her 27th Abortion?","FALSE","Junk News","2018-10-14","california activist 27th abortion"
"138","Machine Gun Kelly Death Hoax","FALSE","Junk News","2018-10-16","mgk died overdose,mgk dead overdose,mgk die overdose,mgk ligma overdose,Machine Gun Kelly Death,Machine Gun Kelly Die,MachineGunKelly ligma overdose,Machine Gun Kelly overdose"
"139","Did Joe Biden Say Vladimir Putin Wants to ‘Destroy the New World Order’?","FALSE","Junk News","2018-10-16","Biden Putin destroy order"
"140","Did Trump Offer $1 Million If Elizabeth Warren Could Show Native American Heritage?","TRUE","Politics","2018-10-16","trump offer warren million,trump promise warren million,trump warren million donate"
"142","Has North Dakota Law Made It Harder for Native Americans to Vote?","TRUE","Politics","2018-10-16","dakota native hard vote,dakota law hard native"
"143","Beyonce, Jay Z Money Problems?","FALSE","Entertainment","2018-10-16","beyonce jay money problems"
"144","Blake Shelton NOT Pushing Gwen Stefani To Make Joint Album, Despite Report","FALSE","Entertainment","2018-10-16","Shelton Stefani Joint Album"
"145","Is Michael Bublé ‘Retiring’ from Making Music?","FALSE","Entertainment","2018-10-17","Bublé retiring,Bublé retire,Bublé leave,Bublé leaving,Bublé quitting,Bublé quit,Bublé final album"
"146","Can Voters Ask for Provisional Ballots If They Are Turned Away at Polls?","TRUE","Politics","2018-10-18","provisional ballot away poll,provisional ballot away voter"
"147","School Shootings in Christian Texas vs. Non-Christian Japan","TRUE","Politics","2018-10-18","school shooting Japan Texas"
